learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.021451634,-5.549553057385816E-15,1000.0,42.9,36.19662613122488,36.55555555555555,34.518348623853214,1000.0,-1.0,750.0,353.5533905932738,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.061726421,-1.596866925764415E-14,2000.0,74.5,71.63716932276233,71.76079734219269,70.98976109215018,2000.0,-1.0,1250.0,645.4972243679028,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.128288366,-3.318829203231467E-14,3000.0,73.0,69.95155522959794,70.23153252480705,69.24829157175398,3000.0,-1.0,1750.0,935.4143466934853,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.225823699,-5.842075243385302E-14,4000.0,72.89999999999999,69.87804498508352,69.78818283166109,69.27437641723357,4000.0,-1.0,2250.0,1224.744871391589,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.355430279,-9.195006737071608E-14,5000.0,72.2,69.09143265656911,69.41694169416942,68.48072562358276,5000.0,-1.0,2750.0,1513.8251770487457,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.502136882,-1.2990317048711911E-13,6000.0,72.5,69.41310987478282,69.47835738068812,68.78547105561861,6000.0,-1.0,3650.0,1700.4901254246279,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.608673702,-1.5746432201315962E-13,7000.0,74.3,71.39209197275459,72.12581344902385,70.86167800453515,7000.0,-1.0,4550.0,1921.3710382606132,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.717154271,-1.8552832279561298E-13,8000.0,73.2,70.21090236512096,70.67833698030634,69.71751412429379,8000.0,-1.0,5450.0,2166.0255461712973,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.826903508,-2.1392052889698086E-13,9000.0,74.0,71.08884952524555,71.17516629711751,71.01449275362319,9000.0,-1.0,6350.0,2427.2755646334567,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.933562215,-2.415132126770914E-13,10000.0,74.6,71.73481469611588,71.58836689038031,71.42857142857143,10000.0,-1.0,7250.0,2700.3086243366083,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.050311266,-2.71716275666323E-13,11000.0,74.5,71.65066504204596,71.7920353982301,71.31608548931383,11000.0,-1.0,6250.0,3736.0852952433156,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
