learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.0,0.0,100.0,71.0,41.99999999999999,66.27906976744185,-20.833333333333353,100.0,-1.0,3.0
200.0,0.015625,-4.042198674546348E-15,200.0,74.0,47.87489975942261,68.29268292682927,19.999999999999986,200.0,-1.0,3.0
300.0,0.015625,-4.042198674546348E-15,300.0,75.0,49.97776789684303,69.00826446280992,36.974789915966376,300.0,-1.0,3.0
400.0,0.015625,-4.042198674546348E-15,400.0,78.75,57.47873936968484,74.24242424242425,49.101796407185624,400.0,-1.0,3.0
500.0,0.015625,-4.042198674546348E-15,500.0,80.2,60.40633498640218,75.85365853658537,54.377880184331815,500.0,-1.0,3.0
600.0,0.015625,-4.042198674546348E-15,600.0,82.0,63.9979998888827,78.39999999999999,57.31225296442686,600.0,-1.0,3.0
700.0,0.015625,-4.042198674546348E-15,700.0,82.57142857142857,65.14257259242933,79.1095890410959,57.785467128027676,700.0,-1.0,3.0
800.0,0.015625,-4.042198674546348E-15,800.0,83.0,66.0070110539701,79.51807228915662,58.66261398176291,800.0,-1.0,3.0
900.0,0.015625,-4.042198674546348E-15,900.0,83.44444444444444,66.90065754398437,80.23872679045094,60.892388451443566,900.0,-1.0,3.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,83.8,67.61049419987924,80.62200956937798,62.41299303944315,1000.0,-1.0,3.0
1100.0,0.03125,-8.084397349092695E-15,1100.0,85.2,70.41703978508377,82.21153846153845,67.32891832229579,1100.0,-1.0,3.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,86.2,72.4104840160739,83.64928909952607,70.25862068965517,1200.0,-1.0,3.0
1300.0,0.03125,-8.084397349092695E-15,1300.0,86.3,72.62518482995644,83.76777251184834,70.1525054466231,1300.0,-1.0,3.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,86.2,72.41324164401087,83.57142857142857,70.32258064516128,1400.0,-1.0,3.0
1500.0,0.03125,-8.084397349092695E-15,1500.0,85.9,71.84189925391019,83.13397129186603,69.54643628509719,1500.0,-1.0,3.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,85.39999999999999,70.83255087322547,82.21680876979295,69.39203354297693,1600.0,-1.0,3.0
1700.0,0.03125,-8.084397349092695E-15,1700.0,85.6,71.23210497085252,82.43902439024389,70.67209775967413,1700.0,-1.0,3.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,85.9,71.80699186601723,82.97101449275362,71.68674698795179,1800.0,-1.0,3.0
1900.0,0.03125,-8.084397349092695E-15,1900.0,85.5,71.02155995939022,82.23039215686273,70.64777327935222,1900.0,-1.0,3.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,85.3,70.61457517071533,81.94103194103194,70.24291497975707,2000.0,-1.0,3.0
2100.0,0.046875,-1.2126596023639042E-14,2100.0,85.0,70.00371953877719,81.43564356435643,69.51219512195121,2100.0,-1.0,3.0
2200.0,0.046875,-1.2126596023639042E-14,2200.0,85.6,71.20644975525482,82.13399503722083,70.4312114989733,2200.0,-1.0,3.0
2300.0,0.046875,-1.2126596023639042E-14,2300.0,86.3,72.60306845633289,83.12807881773398,71.75257731958763,2300.0,-1.0,3.0
2400.0,0.046875,-1.2126596023639042E-14,2400.0,86.0,72.00492713282462,82.71604938271604,70.7112970711297,2400.0,-1.0,3.0
2500.0,0.046875,-1.2126596023639042E-14,2500.0,86.7,73.40489349959607,83.74083129584352,72.17573221757321,2500.0,-1.0,3.0
2600.0,0.046875,-1.2126596023639042E-14,2600.0,87.0,74.00842127150803,84.4311377245509,72.74633123689728,2600.0,-1.0,3.0
2700.0,0.046875,-1.2126596023639042E-14,2700.0,86.8,73.60285089210366,84.21052631578947,72.38493723849372,2700.0,-1.0,3.0
2800.0,0.046875,-1.2126596023639042E-14,2800.0,87.0,73.99001216467124,84.44976076555024,72.74633123689728,2800.0,-1.0,3.0
2900.0,0.046875,-1.2126596023639042E-14,2900.0,87.8,75.58153964397084,85.57919621749409,74.36974789915966,2900.0,-1.0,3.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,87.7,75.37340327553758,85.56338028169014,73.99577167019027,3000.0,-1.0,3.0
3100.0,0.0625,-1.616879469818539E-14,3100.0,88.6,77.17288138308311,86.8663594470046,76.20041753653445,3100.0,-1.0,3.0
3200.0,0.0625,-1.616879469818539E-14,3200.0,88.0,75.96307928978912,86.07888631090486,75.0,3200.0,-1.0,3.0
3300.0,0.0625,-1.616879469818539E-14,3300.0,87.7,75.37399493865522,85.59718969555034,74.74332648870636,3300.0,-1.0,3.0
3400.0,0.0625,-1.616879469818539E-14,3400.0,87.8,75.5859375,85.68075117370893,75.15274949083503,3400.0,-1.0,3.0
3500.0,0.0625,-1.616879469818539E-14,3500.0,87.2,74.375400384369,84.97652582159624,74.0365111561866,3500.0,-1.0,3.0
3600.0,0.0625,-1.616879469818539E-14,3600.0,86.4,72.75804739298519,83.73205741626793,72.24489795918367,3600.0,-1.0,3.0
3700.0,0.0625,-1.616879469818539E-14,3700.0,86.6,73.16135234738023,84.04761904761905,72.54098360655738,3700.0,-1.0,3.0
3800.0,0.0625,-1.616879469818539E-14,3800.0,85.6,71.16689960074164,82.65060240963855,70.79107505070994,3800.0,-1.0,3.0
3900.0,0.0625,-1.616879469818539E-14,3900.0,85.39999999999999,70.79521041450796,82.32445520581112,70.74148296593185,3900.0,-1.0,3.0
4000.0,0.0625,-1.616879469818539E-14,4000.0,85.5,71.0081177270364,82.40291262135922,71.11553784860557,4000.0,-1.0,3.0
4100.0,0.078125,-2.021099337273174E-14,4100.0,84.8,69.59172895027447,81.2577065351418,69.47791164658635,4100.0,-1.0,3.0
4200.0,0.078125,-2.021099337273174E-14,4200.0,84.39999999999999,68.8,80.49999999999999,68.73747494989979,4200.0,-1.0,3.0
4300.0,0.078125,-2.021099337273174E-14,4300.0,85.0,69.98126831142632,81.43564356435643,69.57403651115618,4300.0,-1.0,3.0
4400.0,0.078125,-2.021099337273174E-14,4400.0,85.3,70.57858120711877,82.09500609013398,70.1219512195122,4400.0,-1.0,3.0
4500.0,0.078125,-2.021099337273174E-14,4500.0,85.6,71.1855927963982,82.5030376670717,70.85020242914979,4500.0,-1.0,3.0
4600.0,0.078125,-2.021099337273174E-14,4600.0,85.9,71.80338359396872,82.8883495145631,71.8,4600.0,-1.0,3.0
4700.0,0.078125,-2.021099337273174E-14,4700.0,86.1,72.20511425897634,83.04878048780488,72.2,4700.0,-1.0,3.0
4800.0,0.078125,-2.021099337273174E-14,4800.0,86.2,72.40441529355303,83.19123020706456,72.34468937875751,4800.0,-1.0,3.0
4900.0,0.078125,-2.021099337273174E-14,4900.0,86.1,72.19399390268298,83.09002433090025,71.80527383367141,4900.0,-1.0,3.0
5000.0,0.078125,-2.021099337273174E-14,5000.0,86.5,72.99416674001584,83.57664233576642,72.61663286004057,5000.0,-1.0,3.0
5100.0,0.09375,-2.4253192047278088E-14,5100.0,85.9,71.81533245914223,82.57107540173052,71.22448979591837,5100.0,-1.0,3.0
5200.0,0.09375,-2.4253192047278088E-14,5200.0,85.9,71.82028939163801,82.5925925925926,71.22448979591837,5200.0,-1.0,3.0
5300.0,0.09375,-2.4253192047278088E-14,5300.0,85.9,71.8292975305682,82.5062034739454,71.22448979591837,5300.0,-1.0,3.0
